Construction Site,Supplier Name,Material Type,Location,Supplier Rating,Supply Capacity (tons/month),Average Delivery Time (days),Cost per Unit (INR),Workforce Allocation,Predicted Delay Reduction (days)
Site_386,Supplier_44,Sand,Chennai,2,202,5,300.85,198,5
Site_387,Supplier_73,Bricks,Kolkata,3,230,4,303.97,44,4
Site_388,Supplier_5,Sand,Delhi,2,60,4,156.42,59,14
Site_389,Supplier_38,Steel,Bangalore,5,498,11,162.82,78,5
Site_390,Supplier_25,Concrete,Bangalore,4,278,11,421.86,160,15
Site_391,Supplier_67,Cement,Delhi,5,125,11,252.66,141,17
Site_392,Supplier_80,Concrete,Bangalore,2,341,3,242.08,96,16
Site_393,Supplier_49,Concrete,Mumbai,1,383,11,142.3,75,3
Site_394,Supplier_16,Concrete,Mumbai,3,176,5,216.34,160,12
Site_395,Supplier_67,Cement,Mumbai,1,483,12,202.8,104,5
Site_396,Supplier_36,Bricks,Mumbai,1,425,2,440.69,103,4
Site_397,Supplier_57,Steel,Kolkata,5,237,2,285.62,21,1
Site_398,Supplier_84,Bricks,Chennai,2,390,9,366.3,58,18
Site_399,Supplier_46,Concrete,Chennai,2,265,3,225.99,111,6
Site_400,Supplier_30,Sand,Kolkata,5,245,9,295.44,172,12
Site_401,Supplier_54,Sand,Delhi,3,467,8,217.42,41,16
Site_402,Supplier_39,Concrete,Delhi,3,413,13,356.88,194,4
Site_403,Supplier_22,Bricks,Kolkata,3,447,4,344.75,29,7
Site_404,Supplier_95,Concrete,Mumbai,5,122,7,443.9,34,19
Site_405,Supplier_63,Bricks,Mumbai,5,292,8,164.25,161,10
Site_406,Supplier_4,Cement,Bangalore,2,60,3,449.54,63,1
Site_407,Supplier_9,Sand,Kolkata,5,168,5,361.07,55,9
Site_408,Supplier_85,Steel,Delhi,1,100,4,420.57,96,4
Site_409,Supplier_49,Bricks,Delhi,2,240,8,402.05,91,3
Site_410,Supplier_83,Concrete,Mumbai,3,149,5,221.89,60,2
Site_411,Supplier_2,Concrete,Bangalore,5,440,2,171.27,98,17
Site_412,Supplier_96,Concrete,Bangalore,1,192,7,153.18,190,6
Site_413,Supplier_63,Steel,Chennai,5,276,11,288.98,76,14
Site_414,Supplier_59,Concrete,Chennai,4,55,6,480.5,51,3
Site_415,Supplier_44,Bricks,Chennai,3,461,13,478.56,197,3
Site_416,Supplier_52,Cement,Delhi,1,208,7,245.39,39,5
Site_417,Supplier_77,Steel,Bangalore,4,234,10,171.03,186,0
Site_418,Supplier_72,Bricks,Delhi,3,335,3,129.6,73,10
Site_419,Supplier_37,Sand,Kolkata,1,158,4,246.86,140,7
Site_420,Supplier_13,Concrete,Mumbai,5,308,7,342.57,76,4
Site_421,Supplier_8,Steel,Bangalore,5,345,1,129.21,119,15
Site_422,Supplier_59,Bricks,Bangalore,4,311,3,177.29,11,7
Site_423,Supplier_76,Bricks,Delhi,5,114,9,497.93,129,0
Site_424,Supplier_31,Cement,Bangalore,1,98,13,375.61,146,15
Site_425,Supplier_1,Steel,Bangalore,3,60,4,125.25,89,1
Site_426,Supplier_15,Sand,Mumbai,3,102,5,481.8,177,9
Site_427,Supplier_74,Bricks,Mumbai,1,450,4,458.14,60,5
Site_428,Supplier_40,Steel,Bangalore,4,122,4,490.38,25,11
Site_429,Supplier_11,Concrete,Bangalore,4,325,7,298.09,106,7
Site_430,Supplier_7,Concrete,Bangalore,3,216,13,477.68,12,1
Site_431,Supplier_66,Concrete,Chennai,1,404,6,205.71,114,4
Site_432,Supplier_57,Sand,Delhi,3,145,10,435.69,195,3
Site_433,Supplier_60,Bricks,Chennai,4,215,1,418.92,86,9
Site_434,Supplier_13,Steel,Delhi,3,346,7,140.97,186,19
Site_435,Supplier_3,Cement,Chennai,5,373,3,341.64,28,16
Site_436,Supplier_70,Sand,Mumbai,1,211,9,370.42,176,12
Site_437,Supplier_63,Concrete,Chennai,4,66,7,213.2,97,19
Site_438,Supplier_86,Sand,Mumbai,1,358,12,121.07,86,19
Site_439,Supplier_46,Cement,Bangalore,4,119,10,482.95,188,9
Site_440,Supplier_1,Bricks,Kolkata,1,480,6,428.42,177,14
Site_441,Supplier_29,Bricks,Chennai,3,124,12,376.05,117,7
Site_442,Supplier_14,Sand,Kolkata,1,233,10,349.4,16,3
Site_443,Supplier_17,Steel,Bangalore,1,188,2,296.11,13,7
Site_444,Supplier_19,Sand,Chennai,1,309,9,211.72,166,2
Site_445,Supplier_15,Bricks,Kolkata,3,273,4,438.1,141,15
Site_446,Supplier_82,Cement,Delhi,1,288,7,199.45,109,17
Site_447,Supplier_2,Bricks,Bangalore,1,344,2,411.16,158,0
Site_448,Supplier_97,Sand,Chennai,2,298,9,132.26,64,13
Site_449,Supplier_13,Steel,Bangalore,1,193,5,451.71,101,7
Site_450,Supplier_17,Bricks,Mumbai,2,412,4,256.13,29,7
Site_451,Supplier_30,Sand,Chennai,3,277,4,402.18,154,3
Site_452,Supplier_95,Concrete,Mumbai,1,86,9,246.53,178,1
Site_453,Supplier_34,Cement,Kolkata,4,424,9,307.91,26,18
Site_454,Supplier_52,Steel,Delhi,2,141,10,456.03,193,10
Site_455,Supplier_27,Steel,Mumbai,5,246,6,432.99,28,4
Site_456,Supplier_8,Sand,Bangalore,5,347,6,422.12,176,11
Site_457,Supplier_30,Cement,Kolkata,1,391,14,361.79,68,11
Site_458,Supplier_27,Sand,Bangalore,4,340,5,360.19,36,9
Site_459,Supplier_48,Sand,Bangalore,1,483,10,326.64,101,3
Site_460,Supplier_42,Bricks,Kolkata,4,481,6,351.65,193,14
Site_461,Supplier_5,Cement,Mumbai,3,434,4,233.6,199,12
Site_462,Supplier_55,Sand,Kolkata,5,167,12,400.46,148,8
Site_463,Supplier_35,Bricks,Bangalore,4,254,11,331.4,157,10
Site_464,Supplier_73,Bricks,Delhi,1,126,10,288.95,102,19
Site_465,Supplier_16,Concrete,Mumbai,4,151,1,351.29,111,15
Site_466,Supplier_47,Steel,Mumbai,5,218,9,280.64,144,0
Site_467,Supplier_23,Sand,Kolkata,2,276,11,255.19,62,17
Site_468,Supplier_85,Concrete,Mumbai,3,269,7,190.15,80,10
Site_469,Supplier_19,Cement,Chennai,5,420,6,201.45,162,4
Site_470,Supplier_94,Sand,Chennai,1,494,10,213.33,16,0
Site_471,Supplier_29,Concrete,Mumbai,2,135,13,348.95,100,10
Site_472,Supplier_76,Sand,Kolkata,3,53,13,252.97,57,3
Site_473,Supplier_65,Cement,Kolkata,5,198,1,326.31,69,10
Site_474,Supplier_36,Bricks,Delhi,2,462,13,119.95,86,5
Site_475,Supplier_81,Cement,Chennai,4,347,7,365.6,152,4
Site_476,Supplier_61,Cement,Bangalore,2,384,6,228.87,161,2
Site_477,Supplier_50,Steel,Delhi,2,91,13,142.85,195,0
Site_478,Supplier_56,Steel,Kolkata,3,414,9,409.32,163,4
Site_479,Supplier_75,Sand,Kolkata,2,357,3,144.71,46,15
Site_480,Supplier_90,Cement,Bangalore,5,286,11,464.2,47,18
Site_481,Supplier_69,Steel,Kolkata,5,486,11,252.79,171,17
Site_482,Supplier_35,Sand,Bangalore,2,484,7,454.57,89,10
Site_483,Supplier_57,Steel,Bangalore,5,280,11,335.64,112,16
Site_484,Supplier_73,Concrete,Bangalore,1,58,11,265.47,57,16
Site_485,Supplier_28,Sand,Delhi,5,213,14,268.56,133,6
Site_486,Supplier_32,Concrete,Kolkata,4,430,12,487.95,86,11
Site_487,Supplier_67,Cement,Bangalore,1,233,1,180.94,32,10
Site_488,Supplier_63,Steel,Chennai,1,399,13,161.2,184,9
Site_489,Supplier_71,Steel,Delhi,3,248,14,199.19,131,16
Site_490,Supplier_81,Sand,Mumbai,5,150,13,391.13,176,9
Site_491,Supplier_43,Bricks,Kolkata,3,273,9,384.87,40,9
Site_492,Supplier_39,Bricks,Kolkata,3,254,9,249.01,104,5
Site_493,Supplier_22,Concrete,Delhi,4,330,11,348.25,187,9
Site_494,Supplier_3,Sand,Delhi,2,53,12,100.41,76,6
Site_495,Supplier_1,Cement,Kolkata,2,234,5,208.3,179,6
Site_496,Supplier_79,Bricks,Chennai,1,210,3,233.7,97,7
Site_497,Supplier_85,Cement,Kolkata,4,322,5,142.72,20,0
Site_498,Supplier_8,Bricks,Bangalore,3,464,2,291.98,22,18
Site_499,Supplier_44,Sand,Chennai,1,153,13,425.94,110,7
Site_500,Supplier_39,Concrete,Chennai,3,305,4,355.82,181,19
Site_501,Supplier_32,Steel,Chennai,4,173,2,394.28,95,4
Site_502,Supplier_50,Cement,Bangalore,2,419,10,248.12,137,9
Site_503,Supplier_56,Sand,Delhi,2,477,9,332.86,34,10
Site_504,Supplier_28,Bricks,Bangalore,3,217,14,252.4,191,15
Site_505,Supplier_15,Cement,Mumbai,2,470,14,362.62,121,5
Site_506,Supplier_59,Concrete,Delhi,3,243,2,191.0,166,5
Site_507,Supplier_77,Cement,Kolkata,2,417,14,166.17,120,18
Site_508,Supplier_72,Bricks,Chennai,3,228,1,134.35,25,13
Site_509,Supplier_1,Steel,Bangalore,3,54,6,295.65,57,2
Site_510,Supplier_98,Cement,Delhi,2,271,1,394.27,77,10
Site_511,Supplier_61,Cement,Bangalore,4,367,10,415.67,148,14
Site_512,Supplier_44,Cement,Mumbai,4,79,8,159.45,144,12
Site_513,Supplier_55,Concrete,Kolkata,1,313,3,489.02,41,17
Site_514,Supplier_94,Sand,Bangalore,1,208,10,272.15,26,6
Site_515,Supplier_3,Sand,Mumbai,5,191,13,244.67,59,14
Site_516,Supplier_24,Bricks,Bangalore,3,327,5,303.38,47,12
Site_517,Supplier_49,Sand,Chennai,2,268,12,372.53,49,9
Site_518,Supplier_14,Sand,Delhi,2,64,3,205.9,140,0
Site_519,Supplier_52,Concrete,Bangalore,1,113,2,442.21,114,15
Site_520,Supplier_90,Bricks,Mumbai,2,369,13,437.28,15,16
Site_521,Supplier_23,Steel,Kolkata,4,80,6,299.33,37,4
Site_522,Supplier_48,Bricks,Delhi,1,391,4,139.15,132,1
Site_523,Supplier_88,Cement,Mumbai,1,279,13,203.17,140,14
Site_524,Supplier_8,Bricks,Chennai,3,132,5,250.57,176,4
Site_525,Supplier_95,Concrete,Kolkata,1,176,10,193.09,100,9
Site_526,Supplier_78,Sand,Delhi,1,268,11,208.22,79,9
Site_527,Supplier_2,Concrete,Bangalore,5,454,1,335.54,187,6
Site_528,Supplier_81,Concrete,Mumbai,1,164,14,107.67,112,6
Site_529,Supplier_93,Sand,Bangalore,1,415,7,456.5,169,18
Site_530,Supplier_38,Steel,Kolkata,1,308,12,356.28,60,0
Site_531,Supplier_42,Cement,Bangalore,5,474,8,360.7,139,7
Site_532,Supplier_40,Bricks,Bangalore,1,404,4,295.15,190,1
Site_533,Supplier_62,Bricks,Chennai,2,405,9,398.91,17,13
Site_534,Supplier_96,Cement,Chennai,1,114,13,470.72,53,12
Site_535,Supplier_63,Steel,Bangalore,1,219,8,205.71,137,5
Site_536,Supplier_9,Sand,Bangalore,1,254,11,432.4,20,1
Site_537,Supplier_82,Concrete,Mumbai,2,138,4,105.06,74,9
Site_538,Supplier_48,Steel,Delhi,3,300,9,216.89,55,16
Site_539,Supplier_22,Bricks,Bangalore,3,171,11,244.21,39,8
Site_540,Supplier_1,Cement,Mumbai,1,343,3,270.55,126,13
Site_541,Supplier_50,Sand,Mumbai,5,219,1,349.92,142,4
Site_542,Supplier_95,Concrete,Bangalore,3,268,8,326.74,17,15
Site_543,Supplier_71,Cement,Kolkata,5,456,10,137.55,28,10
Site_544,Supplier_18,Steel,Mumbai,5,224,10,248.61,44,6
Site_545,Supplier_38,Sand,Chennai,4,353,13,170.73,70,2
Site_546,Supplier_30,Cement,Bangalore,1,251,5,315.82,52,10
Site_547,Supplier_99,Cement,Bangalore,1,429,8,281.43,122,12
Site_548,Supplier_75,Concrete,Chennai,5,462,11,418.46,138,5
Site_549,Supplier_62,Sand,Delhi,3,90,5,407.6,95,12
Site_550,Supplier_74,Steel,Kolkata,2,393,10,474.11,172,5
Site_551,Supplier_98,Concrete,Kolkata,2,219,12,107.2,120,17
Site_552,Supplier_34,Cement,Chennai,1,431,10,424.96,165,9
Site_553,Supplier_64,Bricks,Bangalore,2,58,9,421.57,61,18
Site_554,Supplier_32,Sand,Mumbai,3,280,6,354.82,79,11
Site_555,Supplier_17,Cement,Bangalore,2,340,10,299.76,100,19
Site_556,Supplier_18,Steel,Bangalore,3,133,7,196.08,105,7
Site_557,Supplier_48,Bricks,Chennai,1,153,2,374.92,158,4
Site_558,Supplier_82,Sand,Kolkata,2,496,11,336.61,58,3
Site_559,Supplier_78,Bricks,Chennai,4,329,10,221.47,34,1
Site_560,Supplier_40,Steel,Mumbai,4,316,6,315.88,35,11
Site_561,Supplier_10,Sand,Mumbai,5,279,12,430.02,137,14
Site_562,Supplier_45,Bricks,Delhi,2,93,9,252.81,148,11
Site_563,Supplier_47,Concrete,Kolkata,3,260,8,200.01,97,1
Site_564,Supplier_69,Cement,Kolkata,2,163,1,342.04,198,5
Site_565,Supplier_50,Concrete,Chennai,1,80,1,446.89,53,11
Site_566,Supplier_35,Cement,Mumbai,1,116,1,155.41,81,4
Site_567,Supplier_14,Bricks,Delhi,4,434,9,191.29,57,5
Site_568,Supplier_33,Concrete,Delhi,2,244,1,144.98,136,11
Site_569,Supplier_12,Steel,Kolkata,5,409,8,418.93,157,17
Site_570,Supplier_63,Cement,Mumbai,2,417,4,244.16,36,12
Site_571,Supplier_62,Sand,Mumbai,2,206,3,164.8,134,11
Site_572,Supplier_16,Sand,Kolkata,4,226,9,297.55,161,12
Site_573,Supplier_88,Steel,Kolkata,3,255,13,260.46,137,9
Site_574,Supplier_58,Sand,Mumbai,4,316,1,281.09,68,7
Site_575,Supplier_66,Steel,Chennai,2,317,5,110.21,163,1
Site_576,Supplier_45,Concrete,Delhi,1,469,12,377.48,124,17
Site_577,Supplier_49,Bricks,Bangalore,4,226,3,267.52,178,14
Site_578,Supplier_79,Concrete,Bangalore,2,225,5,394.98,51,15
Site_579,Supplier_89,Sand,Delhi,2,436,8,293.77,59,14
Site_580,Supplier_32,Steel,Kolkata,5,224,4,176.08,72,9
Site_581,Supplier_83,Steel,Kolkata,3,327,12,135.8,87,7
Site_582,Supplier_68,Sand,Delhi,3,101,9,117.45,96,11
Site_583,Supplier_52,Bricks,Delhi,1,433,4,169.36,125,10
Site_584,Supplier_56,Concrete,Kolkata,2,462,8,342.43,96,2
Site_585,Supplier_47,Cement,Mumbai,2,75,7,200.26,159,17
Site_586,Supplier_80,Steel,Mumbai,3,342,1,333.62,82,15
Site_587,Supplier_18,Steel,Bangalore,5,102,3,481.61,142,14
Site_588,Supplier_20,Bricks,Delhi,1,364,13,190.26,41,2
Site_589,Supplier_5,Bricks,Chennai,2,301,5,342.06,74,17
Site_590,Supplier_57,Sand,Chennai,1,189,9,137.16,150,10
Site_591,Supplier_33,Concrete,Bangalore,1,249,7,431.11,158,3
Site_592,Supplier_1,Sand,Kolkata,2,160,4,404.48,71,8
Site_593,Supplier_4,Sand,Bangalore,2,85,12,243.94,32,6
Site_594,Supplier_12,Sand,Mumbai,2,295,9,307.01,106,7
Site_595,Supplier_10,Concrete,Bangalore,2,376,10,268.77,35,6
Site_596,Supplier_17,Sand,Chennai,1,426,9,126.15,127,13
Site_597,Supplier_93,Cement,Bangalore,5,379,7,239.54,48,1
Site_598,Supplier_7,Sand,Chennai,5,424,6,366.72,108,15
Site_599,Supplier_20,Sand,Kolkata,3,117,14,493.02,123,13
Site_600,Supplier_66,Cement,Chennai,3,89,5,393.07,166,5
Site_601,Supplier_29,Cement,Delhi,3,325,10,110.46,134,5
Site_602,Supplier_18,Steel,Chennai,5,101,7,197.83,51,11
Site_603,Supplier_21,Bricks,Mumbai,5,182,12,477.45,121,3
Site_604,Supplier_28,Concrete,Bangalore,2,124,12,104.4,183,5
Site_605,Supplier_25,Concrete,Mumbai,2,240,12,476.96,183,18
Site_606,Supplier_98,Sand,Bangalore,2,442,10,221.73,116,16
Site_607,Supplier_17,Concrete,Bangalore,4,358,13,326.44,94,7
Site_608,Supplier_3,Concrete,Mumbai,1,351,14,211.86,133,18
Site_609,Supplier_49,Concrete,Kolkata,5,410,3,195.01,161,10
Site_610,Supplier_94,Concrete,Bangalore,4,157,7,309.22,167,6
Site_611,Supplier_59,Cement,Mumbai,4,62,8,463.34,66,6
Site_612,Supplier_89,Sand,Delhi,5,405,7,138.14,62,10
Site_613,Supplier_25,Bricks,Kolkata,5,187,3,343.69,167,11
Site_614,Supplier_7,Bricks,Bangalore,2,290,1,422.93,100,4
Site_615,Supplier_8,Concrete,Delhi,3,114,8,211.93,180,5
Site_616,Supplier_91,Bricks,Kolkata,5,385,9,374.35,62,12
Site_617,Supplier_24,Cement,Kolkata,3,362,4,158.97,187,0
Site_618,Supplier_18,Concrete,Chennai,3,112,7,447.22,16,13
Site_619,Supplier_43,Concrete,Delhi,5,324,7,142.07,37,16
Site_620,Supplier_41,Bricks,Bangalore,3,63,11,197.57,62,18
Site_621,Supplier_47,Bricks,Delhi,1,205,10,398.64,103,17
Site_622,Supplier_13,Bricks,Bangalore,1,258,2,154.65,26,18
Site_623,Supplier_82,Sand,Chennai,3,142,7,401.95,115,12
Site_624,Supplier_15,Cement,Delhi,3,338,10,379.77,76,2
Site_625,Supplier_66,Concrete,Chennai,5,489,1,378.92,46,13
Site_626,Supplier_56,Steel,Bangalore,5,393,14,291.87,146,19
Site_627,Supplier_52,Cement,Mumbai,1,465,9,181.82,60,17
Site_628,Supplier_72,Bricks,Bangalore,3,115,1,428.42,112,5
Site_629,Supplier_33,Steel,Kolkata,4,319,9,182.96,113,13
Site_630,Supplier_52,Cement,Kolkata,1,203,13,461.26,132,4
Site_631,Supplier_97,Cement,Mumbai,5,268,5,340.24,139,13
Site_632,Supplier_30,Cement,Kolkata,4,256,7,431.92,114,17
Site_633,Supplier_2,Bricks,Chennai,3,254,6,228.86,152,10
Site_634,Supplier_27,Sand,Delhi,2,340,4,292.11,50,1
Site_635,Supplier_24,Bricks,Delhi,4,220,14,359.91,197,10
Site_636,Supplier_32,Steel,Delhi,5,108,11,179.73,107,10
Site_637,Supplier_38,Steel,Kolkata,5,372,9,499.33,24,1
Site_638,Supplier_36,Sand,Bangalore,4,226,3,497.97,195,18
Site_639,Supplier_38,Sand,Delhi,1,295,7,210.83,192,8
Site_640,Supplier_67,Steel,Mumbai,3,191,1,454.96,42,6
Site_641,Supplier_79,Cement,Chennai,2,147,2,260.36,122,13
Site_642,Supplier_24,Cement,Chennai,2,325,1,341.75,193,6
Site_643,Supplier_37,Bricks,Kolkata,1,354,10,151.17,69,18
Site_644,Supplier_61,Sand,Delhi,5,137,7,273.88,104,0
Site_645,Supplier_10,Steel,Chennai,1,106,4,420.46,47,2
Site_646,Supplier_85,Sand,Kolkata,5,448,2,477.83,198,15
Site_647,Supplier_32,Steel,Bangalore,2,257,11,483.06,132,8
Site_648,Supplier_26,Sand,Mumbai,5,158,13,384.0,133,15
Site_649,Supplier_3,Concrete,Bangalore,4,283,6,292.92,177,0
Site_650,Supplier_26,Sand,Bangalore,5,438,4,144.93,43,16
Site_651,Supplier_52,Steel,Chennai,3,356,12,403.27,129,13
Site_652,Supplier_97,Cement,Delhi,2,447,7,395.37,51,3
Site_653,Supplier_21,Concrete,Chennai,3,65,14,175.43,156,0
Site_654,Supplier_2,Cement,Kolkata,1,397,1,417.7,17,7
Site_655,Supplier_56,Steel,Mumbai,1,384,9,348.79,165,10
Site_656,Supplier_87,Bricks,Delhi,3,366,3,331.4,140,19
Site_657,Supplier_39,Sand,Kolkata,1,60,2,235.09,64,9
Site_658,Supplier_53,Cement,Delhi,3,351,6,387.43,160,19
Site_659,Supplier_24,Bricks,Chennai,3,309,12,368.3,148,16
Site_660,Supplier_2,Cement,Kolkata,1,225,4,317.66,179,2
Site_661,Supplier_88,Cement,Kolkata,2,296,10,149.17,49,11
Site_662,Supplier_90,Concrete,Mumbai,1,477,3,396.0,120,19
Site_663,Supplier_25,Bricks,Kolkata,3,116,7,107.83,62,10
Site_664,Supplier_72,Sand,Delhi,4,161,6,104.37,78,19
Site_665,Supplier_35,Bricks,Mumbai,2,192,7,184.14,59,7
Site_666,Supplier_89,Bricks,Kolkata,4,309,10,315.83,81,12
Site_667,Supplier_18,Bricks,Mumbai,2,479,12,391.68,59,16
Site_668,Supplier_33,Steel,Kolkata,1,469,11,338.92,149,7
Site_669,Supplier_45,Bricks,Chennai,1,220,5,162.61,134,18
Site_670,Supplier_39,Sand,Mumbai,4,140,13,307.43,61,19
Site_671,Supplier_58,Bricks,Chennai,5,431,1,191.81,193,8
Site_672,Supplier_82,Concrete,Kolkata,3,321,13,380.68,127,5
Site_673,Supplier_11,Cement,Mumbai,5,82,14,285.12,198,15
Site_674,Supplier_14,Cement,Delhi,3,402,3,125.02,181,19
Site_675,Supplier_23,Steel,Bangalore,2,343,9,432.26,110,5
Site_676,Supplier_10,Concrete,Kolkata,3,89,2,349.02,123,2
Site_677,Supplier_11,Cement,Bangalore,2,303,2,461.58,148,5
Site_678,Supplier_50,Sand,Delhi,2,213,3,368.91,29,17
Site_679,Supplier_78,Cement,Bangalore,4,233,7,386.41,186,12
Site_680,Supplier_57,Concrete,Mumbai,3,323,12,450.24,142,4
Site_681,Supplier_2,Cement,Bangalore,3,491,14,387.71,78,9
Site_682,Supplier_29,Concrete,Kolkata,4,457,2,389.78,173,0
Site_683,Supplier_67,Sand,Kolkata,1,260,1,198.38,104,18
Site_684,Supplier_44,Steel,Mumbai,1,284,13,490.23,145,5
Site_685,Supplier_46,Sand,Bangalore,2,407,6,302.54,132,18
Site_686,Supplier_69,Bricks,Mumbai,5,199,3,492.1,63,5
Site_687,Supplier_43,Cement,Delhi,5,400,8,217.9,190,17
Site_688,Supplier_79,Bricks,Mumbai,5,123,8,176.79,116,7
Site_689,Supplier_13,Steel,Kolkata,1,322,13,291.58,161,9
Site_690,Supplier_72,Concrete,Kolkata,2,206,10,199.48,88,7
Site_691,Supplier_68,Steel,Kolkata,1,139,4,398.87,117,9
Site_692,Supplier_20,Bricks,Chennai,4,261,5,470.04,169,9
Site_693,Supplier_84,Bricks,Delhi,3,395,10,256.14,35,10
Site_694,Supplier_87,Concrete,Delhi,5,79,12,295.0,175,7
Site_695,Supplier_91,Bricks,Chennai,3,225,3,240.67,89,14
Site_696,Supplier_10,Steel,Bangalore,5,340,8,159.36,129,5
Site_697,Supplier_7,Concrete,Chennai,2,172,8,372.12,38,3
Site_698,Supplier_33,Cement,Delhi,3,72,14,287.89,100,7
Site_699,Supplier_38,Steel,Delhi,4,265,5,405.77,82,2
Site_700,Supplier_7,Sand,Delhi,3,162,6,418.72,183,9
Site_701,Supplier_9,Steel,Chennai,3,329,5,336.51,161,13
Site_702,Supplier_3,Concrete,Chennai,3,478,5,197.72,104,5
Site_703,Supplier_4,Cement,Delhi,3,229,13,276.5,44,5
Site_704,Supplier_11,Steel,Bangalore,2,170,7,243.36,83,12
Site_705,Supplier_1,Bricks,Kolkata,3,299,2,255.41,119,9
Site_706,Supplier_70,Bricks,Kolkata,4,101,13,177.29,199,7
Site_707,Supplier_21,Concrete,Bangalore,2,159,11,410.95,83,19
Site_708,Supplier_24,Cement,Delhi,5,453,3,129.47,52,12
Site_709,Supplier_10,Cement,Chennai,3,483,11,392.31,95,5
Site_710,Supplier_9,Cement,Mumbai,2,405,3,234.05,62,15
Site_711,Supplier_35,Concrete,Chennai,2,401,5,438.67,71,12
Site_712,Supplier_70,Concrete,Chennai,1,198,3,155.79,85,9
Site_713,Supplier_31,Sand,Bangalore,4,352,11,243.94,127,0
Site_714,Supplier_38,Sand,Mumbai,5,449,7,424.57,48,5
Site_715,Supplier_74,Cement,Delhi,3,180,7,328.29,21,0
Site_716,Supplier_25,Steel,Chennai,1,100,1,417.5,130,14
Site_717,Supplier_82,Cement,Mumbai,1,256,3,196.1,42,2
Site_718,Supplier_9,Sand,Mumbai,5,78,3,359.25,31,11
Site_719,Supplier_52,Bricks,Kolkata,5,181,4,358.7,154,8
Site_720,Supplier_14,Concrete,Chennai,2,259,13,234.97,74,2
Site_721,Supplier_25,Steel,Bangalore,3,210,2,132.2,180,4
Site_722,Supplier_91,Sand,Kolkata,5,464,6,254.87,69,8
Site_723,Supplier_96,Cement,Bangalore,1,178,5,437.26,87,16
Site_724,Supplier_45,Concrete,Bangalore,2,440,7,309.29,185,14
Site_725,Supplier_15,Concrete,Kolkata,3,327,1,251.37,70,0
Site_726,Supplier_65,Steel,Delhi,1,471,6,203.73,164,7
Site_727,Supplier_28,Bricks,Kolkata,4,347,4,408.12,190,5
Site_728,Supplier_35,Concrete,Mumbai,4,426,13,479.19,93,0
Site_729,Supplier_93,Steel,Mumbai,1,437,2,256.45,123,0
Site_730,Supplier_59,Bricks,Mumbai,5,319,9,212.72,93,16
Site_731,Supplier_24,Cement,Kolkata,2,198,7,293.94,142,2
Site_732,Supplier_90,Concrete,Chennai,1,189,12,460.72,86,5
Site_733,Supplier_59,Concrete,Delhi,3,302,12,332.99,48,3
Site_734,Supplier_45,Sand,Delhi,1,459,5,465.05,17,11
Site_735,Supplier_30,Concrete,Kolkata,5,496,9,186.11,193,12
Site_736,Supplier_13,Cement,Mumbai,3,467,1,210.23,140,15
Site_737,Supplier_91,Steel,Mumbai,3,88,12,280.93,169,2
Site_738,Supplier_6,Cement,Bangalore,1,132,12,111.23,48,11
Site_739,Supplier_53,Sand,Mumbai,4,464,10,456.16,43,3
Site_740,Supplier_12,Steel,Kolkata,5,237,10,374.22,91,2
Site_741,Supplier_18,Steel,Mumbai,2,441,1,187.78,29,15
Site_742,Supplier_54,Bricks,Mumbai,3,51,1,429.69,77,9
Site_743,Supplier_10,Steel,Chennai,5,435,13,387.42,86,1
Site_744,Supplier_33,Cement,Delhi,1,269,11,369.88,56,12
Site_745,Supplier_49,Steel,Bangalore,2,275,11,244.0,171,0
Site_746,Supplier_83,Cement,Kolkata,1,460,11,106.97,189,8
Site_747,Supplier_32,Cement,Mumbai,2,76,6,461.28,141,5
Site_748,Supplier_88,Concrete,Chennai,3,194,14,367.3,176,5
Site_749,Supplier_53,Cement,Kolkata,5,447,5,281.17,128,0
Site_750,Supplier_35,Sand,Chennai,4,176,12,422.08,88,7
Site_751,Supplier_43,Cement,Kolkata,1,363,3,122.82,139,3
Site_752,Supplier_61,Sand,Mumbai,3,339,6,239.35,131,14
Site_753,Supplier_79,Bricks,Chennai,4,107,11,356.9,14,9
Site_754,Supplier_17,Cement,Kolkata,5,297,9,320.92,55,9
Site_755,Supplier_56,Sand,Kolkata,3,92,8,328.47,81,10
Site_756,Supplier_76,Cement,Kolkata,2,251,11,254.24,163,19
Site_757,Supplier_69,Sand,Mumbai,1,400,10,449.59,41,4
Site_758,Supplier_56,Concrete,Bangalore,2,214,4,183.45,138,9
Site_759,Supplier_18,Bricks,Mumbai,3,445,2,215.38,168,14
Site_760,Supplier_40,Steel,Mumbai,3,269,13,391.36,83,17
Site_761,Supplier_46,Cement,Mumbai,3,84,3,367.8,100,9
Site_762,Supplier_60,Sand,Chennai,4,270,2,498.97,86,8
Site_763,Supplier_84,Cement,Chennai,2,54,3,474.17,150,2
Site_764,Supplier_85,Cement,Chennai,3,337,13,216.73,27,2
Site_765,Supplier_98,Sand,Chennai,1,222,6,252.25,73,9
Site_766,Supplier_78,Sand,Bangalore,1,287,6,303.41,116,8
Site_767,Supplier_54,Concrete,Delhi,1,72,14,161.27,149,4
Site_768,Supplier_86,Steel,Bangalore,5,161,12,351.41,36,10
Site_769,Supplier_92,Cement,Mumbai,5,172,3,120.64,125,0
Site_770,Supplier_67,Bricks,Chennai,4,407,13,202.03,18,19
Site_771,Supplier_2,Concrete,Delhi,2,68,7,173.8,40,12
